,年齡層,道路型態,車種,事故型態,群
181,1,交岔路,小客車,A2,2
182,1,交岔路,機車,A2,0
183,1,交岔路,機車,A2,0
184,0,交岔路,機車,A2,0
185,2,單路部分,機車,A2,1
186,1,交岔路,機車,A2,0
187,1,交岔路,小客車,A2,2
188,2,單路部分,小客車,A2,3
189,2,單路部分,小客車,A2,3
190,1,單路部分,機車,A2,1
191,2,單路部分,機車,A2,1
192,0,單路部分,機車,A2,1
193,1,單路部分,機車,A2,1
194,0,交岔路,慢車,A2,2
195,1,交岔路,機車,A2,0
196,0,交岔路,機車,A2,0
197,1,交岔路,機車,A2,0
198,1,單路部分,機車,A2,1
199,1,交岔路,機車,A2,0
200,2,交岔路,機車,A2,0
201,2,交岔路,機車,A2,0
202,2,單路部分,機車,A2,1
203,2,單路部分,,A2,1
204,1,單路部分,小客車,A2,3
205,1,交岔路,小客車,A2,2
206,1,交岔路,小貨車(含客、貨兩用),A2,2
207,2,單路部分,小客車,A2,3
208,1,單路部分,機車,A2,1
209,1,交岔路,機車,A2,0
210,1,交岔路,機車,A2,0
211,1,交岔路,小客車,A2,2
212,1,交岔路,小客車,A2,2
213,1,單路部分,機車,A2,1
214,1,交岔路,機車,A2,0
215,0,單路部分,小客車,A2,3
216,2,單路部分,小貨車(含客、貨兩用),A2,3
217,2,交岔路,小客車,A2,2
218,1,交岔路,機車,A2,0
219,0,單路部分,機車,A2,1
220,0,交岔路,機車,A2,0
221,0,交岔路,機車,A2,0
222,1,交岔路,機車,A2,0
223,1,交岔路,機車,A2,0
224,1,交岔路,機車,A2,0
225,2,交岔路,,A2,0
226,0,交岔路,小貨車(含客、貨兩用),A2,2
227,0,交岔路,機車,A2,0
228,1,單路部分,小客車,A2,3
229,0,交岔路,機車,A2,0
230,0,交岔路,小客車,A2,2
231,1,交岔路,機車,A2,0
232,1,交岔路,機車,A2,0
233,2,交岔路,,A2,0
234,1,交岔路,機車,A2,0
235,2,單路部分,小客車,A2,3
236,2,單路部分,,A2,1
237,0,交岔路,機車,A2,0
238,1,交岔路,機車,A2,0
239,1,交岔路,小客車,A2,2
240,1,單路部分,小客車,A2,3
241,0,交岔路,小客車,A2,2
242,1,交岔路,機車,A2,0
243,1,交岔路,機車,A2,0
244,1,交岔路,機車,A2,0
245,1,交岔路,機車,A2,0
246,2,交岔路,機車,A2,0
247,2,交岔路,,A2,0
248,0,交岔路,機車,A2,0
249,0,交岔路,機車,A2,0
250,2,單路部分,小客車,A2,3
251,2,交岔路,小客車,A2,2
252,1,交岔路,機車,A2,0
253,0,交岔路,機車,A2,0
254,1,交岔路,小客車,A2,2
255,1,交岔路,機車,A2,0
256,1,交岔路,機車,A2,0
257,1,單路部分,機車,A2,1
258,0,單路部分,機車,A2,1
259,1,交岔路,機車,A2,0
260,1,交岔路,機車,A2,0
261,1,交岔路,機車,A2,0
262,1,單路部分,機車,A2,1
263,1,單路部分,小客車,A2,3
264,2,交岔路,小客車,A2,2
265,2,交岔路,其他車,A2,0
266,1,單路部分,機車,A2,1
267,2,單路部分,機車,A2,1
268,0,單路部分,小貨車(含客、貨兩用),A2,3
269,0,單路部分,機車,A2,1
270,0,交岔路,機車,A2,0
271,0,單路部分,機車,A2,1
272,1,交岔路,機車,A2,0
273,1,單路部分,小貨車(含客、貨兩用),A2,3
274,0,單路部分,機車,A2,1
275,2,交岔路,小客車,A2,2
276,0,交岔路,機車,A2,0
277,1,交岔路,小客車,A2,2
278,2,交岔路,機車,A2,0
279,1,交岔路,小客車,A2,2
280,0,單路部分,機車,A2,1
281,1,交岔路,機車,A2,0
282,1,單路部分,半聯結車,A2,1
283,0,交岔路,機車,A2,0
284,1,交岔路,機車,A2,0
285,1,交岔路,機車,A2,0
286,1,交岔路,小客車,A2,2
287,0,交岔路,機車,A2,0
288,1,單路部分,小客車,A2,3
289,2,單路部分,,A2,1
290,1,交岔路,機車,A2,0
291,1,交岔路,機車,A2,0
292,0,交岔路,機車,A2,0
293,1,交岔路,小貨車(含客、貨兩用),A2,2
294,0,交岔路,機車,A2,0
295,0,交岔路,機車,A2,0
296,0,單路部分,機車,A2,1
297,1,交岔路,機車,A2,0
298,1,交岔路,小客車,A2,2
299,1,交岔路,小客車,A2,2
300,0,單路部分,機車,A2,1
301,1,單路部分,機車,A2,1
302,2,交岔路,機車,A2,0
303,2,交岔路,小客車,A2,2
304,0,交岔路,機車,A2,0
305,2,交岔路,小客車,A2,2
306,1,單路部分,機車,A2,1
307,2,交岔路,機車,A2,0
308,1,交岔路,小客車,A2,2
309,1,交岔路,小客車,A2,2
310,2,交岔路,小客車,A2,2
311,1,交岔路,小客車,A2,2
312,1,交岔路,小貨車(含客、貨兩用),A2,2
313,1,交岔路,小客車,A2,2
314,2,單路部分,機車,A2,1
315,1,單路部分,機車,A2,1
316,1,交岔路,機車,A2,0
317,1,交岔路,機車,A2,0
318,0,交岔路,機車,A2,0
319,2,單路部分,小客車,A2,3
320,1,交岔路,機車,A2,0
321,1,單路部分,機車,A2,1
322,1,交岔路,機車,A2,0
323,1,交岔路,小客車,A2,2
324,1,單路部分,機車,A2,1
325,2,交岔路,小客車,A2,2
326,2,交岔路,機車,A2,0
327,0,單路部分,機車,A2,1
328,1,交岔路,小客車,A2,2
329,1,交岔路,小客車,A2,2
330,1,交岔路,機車,A2,0
331,1,單路部分,機車,A2,1
332,1,交岔路,機車,A2,0
333,2,單路部分,,A2,1
334,0,交岔路,機車,A2,0
335,1,交岔路,機車,A2,0
336,2,單路部分,慢車,A2,3
337,1,交岔路,大客車,A2,0
338,1,交岔路,機車,A2,0
339,0,單路部分,慢車,A2,3
340,0,交岔路,機車,A2,0
341,2,單路部分,機車,A2,1
342,1,單路部分,機車,A2,1
343,0,單路部分,小客車,A2,3
344,1,單路部分,機車,A2,1
345,1,交岔路,機車,A2,0
346,1,交岔路,小客車,A2,2
347,1,單路部分,機車,A2,1
348,2,交岔路,,A2,0
349,1,交岔路,機車,A2,0
350,1,單路部分,小客車,A2,3
351,1,單路部分,半聯結車,A2,1
352,1,單路部分,小貨車(含客、貨兩用),A2,3
353,2,交岔路,機車,A2,0
354,1,交岔路,小客車,A2,2
355,1,交岔路,機車,A2,0
356,2,交岔路,機車,A2,0
357,2,單路部分,機車,A2,1
358,1,交岔路,機車,A2,0
359,1,交岔路,機車,A2,0
360,0,交岔路,機車,A2,0
361,1,交岔路,小貨車(含客、貨兩用),A2,2
362,1,交岔路,小貨車(含客、貨兩用),A2,2
363,2,交岔路,,A2,0
364,0,交岔路,機車,A2,0
365,1,交岔路,小客車,A2,2
366,0,單路部分,機車,A2,1
367,0,單路部分,機車,A2,1
368,1,交岔路,機車,A2,0
369,1,單路部分,小客車,A2,3
370,1,交岔路,機車,A2,0
371,1,交岔路,機車,A2,0
372,0,交岔路,機車,A2,0
373,2,交岔路,機車,A2,0
374,0,交岔路,機車,A2,0
