,年齡層,道路型態,車種,事故型態,群
784,2,交岔路,機車,A2,0
785,0,交岔路,機車,A2,0
786,0,交岔路,機車,A2,0
787,1,交岔路,小客車,A2,2
788,2,單路部分,機車,A2,1
789,1,交岔路,機車,A2,0
790,2,單路部分,,A2,1
791,1,單路部分,小客車,A2,3
792,1,交岔路,小客車,A2,2
793,0,交岔路,機車,A2,0
794,0,交岔路,小客車,A2,2
795,0,交岔路,機車,A2,0
796,1,交岔路,機車,A2,0
797,1,交岔路,小客車,A2,2
798,0,交岔路,機車,A2,0
799,1,單路部分,機車,A2,1
800,0,交岔路,機車,A2,0
801,2,單路部分,,A2,1
802,2,單路部分,,A2,1
803,2,交岔路,機車,A2,0
804,1,單路部分,機車,A2,1
805,1,交岔路,小客車,A2,2
806,1,交岔路,小貨車(含客、貨兩用),A2,2
807,1,單路部分,小客車,A2,3
808,2,交岔路,機車,A2,0
809,2,交岔路,機車,A2,0
810,2,交岔路,機車,A2,0
811,2,交岔路,慢車,A2,2
812,2,單路部分,人,A2,3
813,2,交岔路,機車,A2,0
814,1,單路部分,小客車,A2,3
815,1,交岔路,小貨車(含客、貨兩用),A2,2
816,0,交岔路,機車,A2,0
817,1,交岔路,小客車,A2,2
818,2,交岔路,小客車,A2,2
819,0,交岔路,機車,A2,0
820,1,單路部分,機車,A2,1
821,1,單路部分,小客車,A2,3
822,1,交岔路,機車,A2,0
823,1,交岔路,機車,A2,0
824,2,交岔路,慢車,A2,2
825,0,交岔路,機車,A2,0
826,0,交岔路,機車,A2,0
827,1,交岔路,小客車,A2,2
828,1,交岔路,機車,A2,0
829,2,交岔路,機車,A2,0
830,0,交岔路,機車,A2,0
831,2,單路部分,機車,A2,1
832,1,單路部分,機車,A2,1
833,0,交岔路,慢車,A2,2
834,0,交岔路,機車,A2,0
835,1,單路部分,機車,A2,1
836,0,交岔路,機車,A2,0
837,1,交岔路,小客車,A2,2
838,2,單路部分,機車,A2,1
839,1,交岔路,小客車,A2,2
840,1,交岔路,小客車,A2,2
841,0,交岔路,機車,A2,0
842,1,單路部分,小客車,A2,3
843,0,交岔路,機車,A2,0
844,0,交岔路,機車,A2,0
845,1,單路部分,小客車,A2,3
846,1,交岔路,小客車,A2,2
847,1,交岔路,機車,A2,0
848,1,交岔路,機車,A2,0
849,0,單路部分,機車,A2,1
850,1,單路部分,機車,A2,1
851,1,交岔路,小客車,A2,2
852,0,交岔路,機車,A2,0
853,1,交岔路,小客車,A2,2
854,1,單路部分,機車,A2,1
855,1,交岔路,機車,A2,0
856,0,單路部分,機車,A2,1
857,1,單路部分,小貨車(含客、貨兩用),A2,3
858,1,交岔路,小客車,A2,2
859,2,單路部分,機車,A2,1
860,1,單路部分,小客車,A2,3
861,1,交岔路,小客車,A2,2
862,1,交岔路,機車,A2,0
863,2,單路部分,小客車,A2,3
864,2,交岔路,機車,A2,0
865,2,交岔路,,A2,0
866,0,交岔路,機車,A2,0
867,2,單路部分,機車,A2,1
868,1,單路部分,機車,A2,1
869,2,單路部分,機車,A2,1
870,0,交岔路,機車,A2,0
871,2,交岔路,機車,A2,0
872,2,交岔路,機車,A2,0
873,0,交岔路,機車,A2,0
874,1,交岔路,機車,A2,0
875,2,交岔路,機車,A2,0
876,1,單路部分,小客車,A2,3
877,1,交岔路,小客車,A2,2
878,1,交岔路,小客車,A2,2
879,2,交岔路,機車,A2,0
880,0,單路部分,機車,A2,1
881,0,單路部分,機車,A2,1
882,0,單路部分,機車,A2,1
883,1,交岔路,機車,A2,0
884,1,交岔路,機車,A2,0
885,1,交岔路,機車,A2,0
886,1,交岔路,機車,A2,0
887,2,單路部分,機車,A2,1
888,1,交岔路,小客車,A2,2
889,1,單路部分,小客車,A2,3
890,0,單路部分,機車,A2,1
891,2,交岔路,小客車,A2,2
892,1,交岔路,機車,A2,0
893,2,交岔路,機車,A2,0
894,2,單路部分,慢車,A2,3
895,1,交岔路,機車,A2,0
896,1,單路部分,機車,A2,1
897,2,單路部分,機車,A2,1
898,1,交岔路,機車,A2,0
899,0,單路部分,小客車,A2,3
900,1,交岔路,機車,A2,0
901,2,交岔路,,A2,0
902,1,單路部分,機車,A2,1
903,2,交岔路,機車,A2,0
904,0,交岔路,機車,A2,0
905,1,單路部分,小客車,A2,3
906,0,交岔路,機車,A2,0
907,2,交岔路,小客車,A2,2
908,0,交岔路,機車,A2,0
909,1,交岔路,機車,A2,0
910,0,交岔路,慢車,A2,2
911,2,單路部分,小客車,A2,3
912,1,單路部分,小客車,A2,3
913,1,單路部分,機車,A2,1
914,1,交岔路,小客車,A2,2
915,0,交岔路,機車,A2,0
916,0,單路部分,機車,A2,1
917,1,交岔路,機車,A2,0
918,0,單路部分,機車,A2,1
919,0,交岔路,小客車,A2,2
920,0,交岔路,機車,A2,0
921,1,交岔路,機車,A2,0
922,1,單路部分,半聯結車,A2,1
923,1,交岔路,機車,A2,0
924,1,交岔路,機車,A2,0
925,0,交岔路,機車,A2,0
926,1,交岔路,機車,A2,0
927,1,交岔路,機車,A2,0
928,1,交岔路,小客車,A2,2
929,0,單路部分,機車,A2,1
930,0,交岔路,機車,A2,0
931,0,單路部分,機車,A2,1
932,1,交岔路,機車,A2,0
933,1,交岔路,機車,A2,0
934,2,交岔路,機車,A2,0
935,1,交岔路,機車,A2,0
936,2,單路部分,機車,A2,1
937,1,單路部分,機車,A2,1
938,2,交岔路,機車,A2,0
939,1,交岔路,小客車,A2,2
940,1,交岔路,小客車,A2,2
941,2,交岔路,機車,A2,0
942,2,單路部分,機車,A2,1
943,1,交岔路,機車,A2,0
944,1,交岔路,小客車,A2,2
945,2,單路部分,小客車,A2,3
946,0,交岔路,機車,A2,0
947,2,交岔路,機車,A2,0
948,1,交岔路,小客車,A2,2
949,0,交岔路,小客車,A2,2
950,2,交岔路,機車,A2,0
951,1,單路部分,小客車,A2,3
952,0,交岔路,機車,A2,0
953,2,單路部分,機車,A2,1
954,1,交岔路,機車,A2,0
955,0,交岔路,機車,A2,0
956,1,單路部分,機車,A2,1
957,0,單路部分,機車,A2,1
958,0,交岔路,機車,A2,0
959,0,單路部分,機車,A2,1
960,0,單路部分,機車,A2,1
961,2,交岔路,,A2,0
962,2,單路部分,小客車,A2,3
963,0,交岔路,機車,A2,0
964,1,單路部分,小客車,A2,3
965,2,單路部分,機車,A2,1
966,2,單路部分,慢車,A2,3
967,1,單路部分,機車,A2,1
968,2,交岔路,慢車,A2,2
969,1,單路部分,機車,A2,1
970,1,單路部分,機車,A2,1
971,2,交岔路,機車,A2,0
972,2,交岔路,小客車,A2,2
973,1,單路部分,機車,A2,1
974,2,交岔路,機車,A2,0
975,2,交岔路,慢車,A2,2
976,2,交岔路,,A2,0
977,2,交岔路,機車,A2,0
978,1,交岔路,機車,A2,0
979,0,單路部分,機車,A2,1
980,1,交岔路,機車,A2,0
981,2,交岔路,機車,A2,0
982,2,單路部分,小客車,A2,3
983,2,交岔路,慢車,A2,2
984,1,單路部分,機車,A2,1
985,2,交岔路,機車,A2,0
986,1,單路部分,小貨車(含客、貨兩用),A2,3
987,0,交岔路,機車,A2,0
988,1,單路部分,機車,A2,1
989,1,交岔路,機車,A2,0
990,2,交岔路,機車,A2,0
991,1,交岔路,小客車,A2,2
992,0,交岔路,小客車,A2,2
993,0,交岔路,小客車,A2,2
994,0,單路部分,機車,A2,1
995,1,交岔路,機車,A2,0
996,0,單路部分,機車,A2,1
997,1,交岔路,機車,A2,0
998,0,交岔路,機車,A2,0
999,2,交岔路,機車,A2,0
1000,1,交岔路,小客車,A2,2
1001,1,交岔路,慢車,A2,2
1002,1,單路部分,機車,A2,1
1003,1,交岔路,小客車,A2,2
1004,0,交岔路,小客車,A2,2
1005,2,交岔路,機車,A2,0
1006,0,交岔路,機車,A2,0
1007,1,交岔路,機車,A2,0
1008,1,交岔路,機車,A2,0
1009,1,單路部分,機車,A2,1
1010,0,單路部分,機車,A2,1
1011,2,交岔路,機車,A2,0
1012,1,交岔路,機車,A2,0
1013,2,交岔路,小客車,A2,2
1014,2,單路部分,機車,A2,1
1015,1,單路部分,機車,A2,1
1016,0,交岔路,機車,A2,0
1017,0,交岔路,小客車,A2,2
1018,1,交岔路,機車,A2,0
1019,1,單路部分,小客車,A2,3
1020,1,交岔路,小客車,A2,2
1021,0,單路部分,機車,A2,1
1022,1,交岔路,機車,A2,0
1023,0,交岔路,機車,A2,0
1024,0,單路部分,機車,A2,1
1025,0,交岔路,小客車,A2,2
1026,0,單路部分,機車,A2,1
1027,0,單路部分,機車,A2,1
1028,2,交岔路,機車,A2,0
1029,2,交岔路,機車,A2,0
1030,0,交岔路,機車,A2,0
1031,1,單路部分,小客車,A2,3
1032,0,交岔路,機車,A2,0
1033,0,交岔路,機車,A2,0
1034,0,交岔路,機車,A2,0
1035,2,單路部分,機車,A2,1
1036,2,交岔路,機車,A2,0
1037,1,單路部分,人,A2,3
1038,0,交岔路,機車,A2,0
1039,2,單路部分,,A2,1
1040,2,交岔路,慢車,A2,2
1041,1,單路部分,機車,A2,1
1042,1,單路部分,機車,A2,1
1043,0,交岔路,機車,A2,0
1044,0,單路部分,小客車,A2,3
1045,2,交岔路,機車,A2,0
1046,1,交岔路,小客車,A2,2
1047,0,交岔路,機車,A2,0
1048,1,交岔路,小客車,A2,2
1049,0,單路部分,機車,A2,1
1050,2,單路部分,,A2,1
1051,2,單路部分,機車,A2,1
1052,0,交岔路,機車,A2,0
1053,1,交岔路,機車,A2,0
1054,2,交岔路,小客車,A2,2
1055,0,單路部分,機車,A2,1
1056,1,單路部分,機車,A2,1
1057,1,交岔路,小客車,A2,2
1058,1,交岔路,機車,A2,0
1059,1,交岔路,小客車,A2,2
1060,2,單路部分,機車,A2,1
1061,0,單路部分,機車,A2,1
1062,2,交岔路,小客車,A2,2
1063,2,交岔路,小客車,A2,2
1064,1,單路部分,機車,A2,1
1065,2,交岔路,機車,A2,0
1066,1,單路部分,機車,A2,1
1067,1,交岔路,小客車,A2,2
1068,0,單路部分,機車,A2,1
1069,1,交岔路,機車,A2,0
1070,1,交岔路,機車,A2,0
1071,0,交岔路,機車,A2,0
1072,0,交岔路,小客車,A2,2
1073,0,單路部分,機車,A2,1
1074,1,交岔路,機車,A2,0
1075,1,單路部分,小客車,A2,3
1076,2,交岔路,機車,A2,0
1077,2,交岔路,機車,A2,0
1078,1,交岔路,小客車,A2,2
1079,0,交岔路,機車,A2,0
1080,1,交岔路,小客車,A2,2
1081,1,交岔路,小客車,A2,2
1082,1,交岔路,機車,A2,0
1083,1,交岔路,機車,A2,0
1084,0,交岔路,機車,A2,0
1085,0,交岔路,小客車,A2,2
1086,0,交岔路,機車,A2,0
1087,1,單路部分,機車,A2,1
1088,1,交岔路,機車,A2,0
1089,1,交岔路,小客車,A2,2
1090,1,單路部分,機車,A2,1
1091,2,交岔路,小客車,A2,2
1092,0,交岔路,機車,A2,0
1093,1,交岔路,小客車,A2,2
1094,1,交岔路,機車,A2,0
1095,1,交岔路,小客車,A2,2
1096,0,交岔路,小客車,A2,2
1097,0,交岔路,小客車,A2,2
1098,2,單路部分,慢車,A2,3
1099,1,單路部分,小客車,A2,3
1100,2,交岔路,機車,A2,0
1101,2,單路部分,機車,A2,1
1102,0,交岔路,機車,A2,0
1103,1,單路部分,機車,A2,1
1104,1,交岔路,小客車,A2,2
1105,1,交岔路,機車,A2,0
1106,1,交岔路,小客車,A2,2
1107,2,交岔路,小客車,A2,2
1108,1,交岔路,小客車,A2,2
1109,1,交岔路,小客車,A2,2
1110,1,單路部分,機車,A2,1
1111,1,交岔路,小客車,A2,2
1112,0,單路部分,機車,A2,1
1113,0,單路部分,機車,A2,1
1114,1,交岔路,機車,A2,0
1115,1,交岔路,小貨車(含客、貨兩用),A2,2
1116,1,單路部分,小客車,A2,3
1117,1,交岔路,機車,A2,0
1118,1,交岔路,小客車,A2,2
1119,2,交岔路,小客車,A2,2
1120,1,交岔路,機車,A2,0
1121,1,交岔路,機車,A2,0
1122,1,交岔路,小客車,A2,2
1123,1,交岔路,小客車,A2,2
1124,1,單路部分,機車,A2,1
1125,0,交岔路,小客車,A2,2
1126,0,交岔路,機車,A2,0
1127,0,單路部分,機車,A2,1
1128,1,交岔路,小客車,A2,2
1129,1,單路部分,機車,A2,1
1130,0,交岔路,小客車,A2,2
1131,0,單路部分,機車,A2,1
1132,2,交岔路,小客車,A2,2
1133,1,交岔路,機車,A2,0
1134,0,交岔路,機車,A2,0
1135,0,單路部分,機車,A2,1
1136,0,交岔路,小客車,A2,2
1137,1,單路部分,機車,A2,1
1138,2,單路部分,機車,A2,1
1139,1,交岔路,小客車,A2,2
1140,2,交岔路,機車,A2,0
1141,1,交岔路,小貨車(含客、貨兩用),A2,2
1142,1,交岔路,小客車,A2,2
1143,1,交岔路,機車,A2,0
1144,1,交岔路,小客車,A2,2
1145,2,交岔路,機車,A2,0
1146,2,單路部分,機車,A2,1
1147,2,交岔路,機車,A2,0
1148,1,交岔路,機車,A2,0
1149,1,單路部分,機車,A2,1
1150,2,交岔路,小客車,A2,2
1151,0,單路部分,機車,A2,1
1152,1,交岔路,小客車,A2,2
1153,0,交岔路,機車,A2,0
1154,1,單路部分,小客車,A2,3
1155,1,交岔路,機車,A2,0
1156,1,交岔路,機車,A2,0
1157,0,單路部分,小客車,A2,3
1158,2,交岔路,機車,A2,0
1159,1,交岔路,小客車,A2,2
1160,1,交岔路,小客車,A2,2
1161,0,交岔路,慢車,A2,2
1162,0,單路部分,小客車,A2,3
1163,1,交岔路,小客車,A2,2
1164,1,交岔路,小客車,A2,2
1165,0,交岔路,機車,A2,0
1166,0,交岔路,機車,A2,0
1167,2,單路部分,小客車,A2,3
1168,0,交岔路,機車,A2,0
1169,0,單路部分,機車,A2,1
1170,1,單路部分,小客車,A2,3
1171,1,交岔路,機車,A2,0
1172,1,單路部分,機車,A2,1
1173,1,交岔路,機車,A2,0
1174,2,交岔路,機車,A2,0
1175,2,交岔路,機車,A2,0
1176,0,交岔路,機車,A2,0
1177,0,交岔路,機車,A2,0
1178,1,交岔路,機車,A2,0
1179,2,單路部分,小客車,A2,3
1180,1,交岔路,小客車,A2,2
1181,1,交岔路,機車,A2,0
1182,0,交岔路,機車,A2,0
1183,2,交岔路,機車,A2,0
1184,0,交岔路,機車,A2,0
1185,1,交岔路,機車,A2,0
1186,1,交岔路,機車,A2,0
1187,2,單路部分,,A2,1
1188,1,交岔路,小客車,A2,2
1189,2,交岔路,機車,A2,0
1190,0,單路部分,機車,A2,1
1191,1,單路部分,小客車,A2,3
1192,1,單路部分,小客車,A2,3
1193,1,單路部分,機車,A2,1
1194,0,交岔路,機車,A2,0
1195,1,交岔路,機車,A2,0
1196,1,交岔路,機車,A2,0
1197,0,交岔路,機車,A2,0
1198,1,單路部分,小客車,A2,3
1199,1,交岔路,小貨車(含客、貨兩用),A2,2
1200,2,單路部分,機車,A2,1
1201,2,交岔路,機車,A2,0
1202,1,交岔路,機車,A2,0
1203,2,交岔路,機車,A2,0
1204,0,單路部分,機車,A2,1
1205,2,單路部分,機車,A2,1
1206,1,單路部分,機車,A2,1
1207,2,交岔路,,A2,0
1208,1,交岔路,小客車,A2,2
1209,2,單路部分,機車,A2,1
1210,0,單路部分,機車,A2,1
1211,2,交岔路,小客車,A2,2
1212,1,交岔路,機車,A2,0
1213,2,單路部分,機車,A2,1
1214,0,單路部分,機車,A2,1
1215,0,單路部分,機車,A2,1
1216,1,交岔路,機車,A2,0
1217,1,單路部分,小客車,A2,3
1218,2,交岔路,機車,A2,0
1219,0,單路部分,機車,A2,1
1220,1,單路部分,機車,A2,1
1221,0,單路部分,機車,A2,1
1222,0,交岔路,機車,A2,0
1223,0,交岔路,小客車,A2,2
1224,2,交岔路,小客車,A2,2
1225,0,單路部分,機車,A2,1
1226,2,交岔路,小貨車(含客、貨兩用),A2,2
1227,2,交岔路,機車,A2,0
1228,0,單路部分,機車,A2,1
1229,0,交岔路,機車,A2,0
1230,1,交岔路,機車,A2,0
1231,2,交岔路,慢車,A2,2
1232,0,交岔路,機車,A2,0
1233,2,交岔路,機車,A2,0
1234,2,單路部分,機車,A2,1
1235,0,單路部分,小客車,A2,3
1236,1,交岔路,小客車,A2,2
1237,0,交岔路,機車,A2,0
1238,2,交岔路,小客車,A2,2
1239,2,交岔路,機車,A2,0
1240,0,交岔路,機車,A2,0
1241,1,單路部分,小客車,A2,3
1242,0,單路部分,機車,A2,1
1243,0,單路部分,機車,A2,1
1244,2,交岔路,小客車,A2,2
1245,2,單路部分,小貨車(含客、貨兩用),A2,3
1246,2,交岔路,機車,A2,0
1247,2,交岔路,機車,A2,0
1248,2,交岔路,,A2,0
1249,0,交岔路,機車,A2,0
1250,1,交岔路,小客車,A2,2
1251,0,交岔路,小客車,A2,2
1252,0,交岔路,機車,A2,0
1253,0,交岔路,機車,A2,0
1254,1,交岔路,小客車,A2,2
1255,1,單路部分,小客車,A2,3
1256,0,單路部分,小客車,A2,3
1257,0,交岔路,小客車,A2,2
1258,1,交岔路,機車,A2,0
1259,1,交岔路,小貨車(含客、貨兩用),A2,2
1260,0,單路部分,機車,A2,1
1261,2,交岔路,,A2,0
1262,1,交岔路,小客車,A2,2
1263,1,單路部分,小貨車(含客、貨兩用),A2,3
1264,2,交岔路,機車,A2,0
1265,0,交岔路,機車,A2,0
1266,1,交岔路,小客車,A2,2
1267,0,交岔路,機車,A2,0
1268,1,單路部分,機車,A2,1
1269,1,交岔路,小客車,A2,2
1270,0,單路部分,慢車,A2,3
1271,1,交岔路,機車,A2,0
1272,0,交岔路,機車,A2,0
1273,1,交岔路,機車,A2,0
1274,0,交岔路,機車,A2,0
1275,0,交岔路,機車,A2,0
1276,2,交岔路,機車,A2,0
1277,0,交岔路,機車,A2,0
1278,0,交岔路,慢車,A2,2
1279,1,交岔路,機車,A2,0
1280,2,交岔路,慢車,A2,2
1281,0,單路部分,機車,A2,1
1282,1,交岔路,機車,A2,0
1283,2,單路部分,慢車,A2,3
1284,2,交岔路,機車,A2,0
1285,0,交岔路,機車,A2,0
1286,1,交岔路,機車,A2,0
1287,0,交岔路,機車,A2,0
1288,1,單路部分,機車,A2,1
1289,1,單路部分,小客車,A2,3
1290,0,交岔路,小客車,A2,2
1291,0,交岔路,機車,A2,0
1292,1,交岔路,機車,A2,0
1293,0,交岔路,機車,A2,0
1294,1,交岔路,機車,A2,0
1295,1,交岔路,機車,A2,0
1296,2,交岔路,機車,A2,0
1297,0,交岔路,慢車,A2,2
1298,2,單路部分,機車,A2,1
1299,1,交岔路,機車,A2,0
1300,1,交岔路,機車,A2,0
1301,0,交岔路,機車,A2,0
1302,0,交岔路,機車,A2,0
1303,0,交岔路,機車,A2,0
1304,2,交岔路,機車,A2,0
1305,2,單路部分,慢車,A2,3
1306,1,交岔路,小客車,A2,2
1307,2,交岔路,,A2,0
1308,1,交岔路,小客車,A2,2
1309,2,單路部分,機車,A2,1
1310,2,交岔路,,A2,0
1311,1,交岔路,小客車,A2,2
1312,1,交岔路,小客車,A2,2
1313,1,交岔路,小客車,A2,2
1314,2,交岔路,其他車,A2,0
1315,2,單路部分,,A2,1
1316,1,單路部分,機車,A2,1
1317,0,交岔路,機車,A2,0
1318,0,單路部分,機車,A2,1
1319,1,交岔路,小客車,A2,2
1320,1,交岔路,小客車,A2,2
1321,2,交岔路,,A2,0
1322,1,交岔路,機車,A2,0
1323,0,交岔路,機車,A2,0
1324,1,單路部分,大客車,A2,1
1325,1,交岔路,機車,A2,0
1326,0,交岔路,機車,A2,0
1327,2,單路部分,,A2,1
1328,1,交岔路,機車,A2,0
1329,1,單路部分,機車,A2,1
1330,1,交岔路,機車,A2,0
1331,1,交岔路,機車,A2,0
1332,2,單路部分,小客車,A2,3
1333,1,交岔路,小客車,A2,2
1334,2,單路部分,,A2,1
1335,2,單路部分,小客車,A2,3
1336,0,交岔路,機車,A2,0
1337,0,交岔路,機車,A2,0
1338,1,交岔路,小客車,A2,2
1339,1,單路部分,機車,A2,1
1340,2,單路部分,機車,A2,1
1341,2,交岔路,慢車,A2,2
1342,0,交岔路,機車,A2,0
1343,0,交岔路,機車,A2,0
1344,1,交岔路,小客車,A2,2
1345,1,交岔路,機車,A2,0
1346,2,單路部分,機車,A2,1
1347,1,單路部分,慢車,A2,3
1348,1,交岔路,小客車,A2,2
1349,1,單路部分,機車,A2,1
1350,0,交岔路,小客車,A2,2
1351,1,交岔路,機車,A2,0
1352,0,單路部分,機車,A2,1
1353,0,交岔路,機車,A2,0
1354,1,交岔路,小貨車(含客、貨兩用),A2,2
1355,0,交岔路,機車,A2,0
1356,1,交岔路,機車,A2,0
1357,0,交岔路,機車,A2,0
1358,1,交岔路,機車,A2,0
1359,0,交岔路,小客車,A2,2
1360,2,交岔路,,A2,0
1361,1,交岔路,機車,A2,0
1362,1,交岔路,小貨車(含客、貨兩用),A2,2
1363,0,單路部分,機車,A2,1
1364,0,單路部分,機車,A2,1
1365,0,單路部分,小客車,A2,3
1366,2,交岔路,小客車,A2,2
1367,0,交岔路,機車,A2,0
1368,1,交岔路,機車,A2,0
1369,0,單路部分,機車,A2,1
1370,2,交岔路,機車,A2,0
1371,0,交岔路,小客車,A2,2
1372,0,單路部分,機車,A2,1
1373,0,單路部分,機車,A2,1
1374,1,交岔路,機車,A2,0
1375,1,單路部分,小客車,A2,3
1376,0,單路部分,機車,A2,1
1377,1,單路部分,機車,A2,1
1378,2,單路部分,機車,A2,1
1379,1,交岔路,機車,A2,0
1380,0,單路部分,機車,A2,1
1381,0,交岔路,機車,A2,0
1382,1,交岔路,機車,A2,0
1383,1,單路部分,機車,A2,1
1384,0,交岔路,機車,A2,0
1385,2,單路部分,小客車,A2,3
1386,0,交岔路,機車,A2,0
1387,1,單路部分,機車,A2,1
1388,0,交岔路,小客車,A2,2
1389,2,交岔路,小客車,A2,2
1390,1,單路部分,機車,A2,1
1391,1,交岔路,小客車,A2,2
1392,1,交岔路,機車,A2,0
1393,2,交岔路,,A2,0
1394,0,交岔路,機車,A2,0
1395,0,單路部分,機車,A2,1
1396,1,交岔路,小客車,A2,2
1397,0,交岔路,機車,A2,0
1398,1,交岔路,機車,A2,0
1399,0,單路部分,機車,A2,1
1400,1,交岔路,小客車,A2,2
1401,0,交岔路,小客車,A2,2
1402,2,單路部分,,A2,1
1403,2,交岔路,慢車,A2,2
1404,1,交岔路,小客車,A2,2
1405,2,交岔路,機車,A2,0
1406,2,交岔路,機車,A2,0
1407,1,單路部分,機車,A2,1
1408,1,交岔路,小客車,A2,2
1409,1,交岔路,大客車,A2,0
1410,0,交岔路,機車,A2,0
1411,0,交岔路,機車,A2,0
1412,0,單路部分,小客車,A2,3
1413,0,交岔路,機車,A2,0
1414,1,交岔路,機車,A2,0
1415,2,單路部分,機車,A2,1
1416,1,單路部分,機車,A2,1
1417,0,交岔路,機車,A2,0
1418,1,交岔路,機車,A2,0
1419,1,單路部分,機車,A2,1
1420,1,單路部分,機車,A2,1
1421,2,交岔路,機車,A2,0
1422,0,交岔路,機車,A2,0
1423,0,交岔路,機車,A2,0
1424,2,交岔路,機車,A2,0
1425,1,交岔路,小客車,A2,2
1426,0,交岔路,機車,A2,0
1427,1,單路部分,小客車,A2,3
1428,0,交岔路,機車,A2,0
1429,0,交岔路,小客車,A2,2
1430,1,交岔路,小客車,A2,2
1431,2,交岔路,機車,A2,0
1432,2,單路部分,機車,A2,1
1433,1,交岔路,機車,A2,0
1434,2,交岔路,機車,A2,0
1435,1,交岔路,小客車,A2,2
1436,2,交岔路,小客車,A2,2
1437,1,交岔路,機車,A2,0
1438,1,單路部分,機車,A2,1
1439,1,單路部分,機車,A2,1
1440,2,交岔路,小客車,A2,2
1441,0,交岔路,小客車,A2,2
1442,1,單路部分,機車,A2,1
1443,1,單路部分,小客車,A2,3
1444,0,單路部分,機車,A2,1
1445,0,交岔路,機車,A2,0
1446,1,交岔路,機車,A2,0
1447,1,交岔路,小客車,A2,2
1448,1,交岔路,慢車,A2,2
1449,1,交岔路,小客車,A2,2
1450,0,交岔路,機車,A2,0
1451,1,交岔路,小貨車(含客、貨兩用),A2,2
1452,1,單路部分,曳引車,A2,1
1453,1,交岔路,機車,A2,0
1454,2,交岔路,慢車,A2,2
1455,1,單路部分,機車,A2,1
1456,1,交岔路,機車,A2,0
1457,1,交岔路,小客車,A2,2
1458,0,單路部分,機車,A2,1
1459,0,交岔路,機車,A2,0
1460,2,交岔路,機車,A2,0
1461,0,單路部分,機車,A2,1
1462,1,交岔路,機車,A2,0
1463,1,單路部分,機車,A2,1
1464,1,單路部分,機車,A2,1
1465,2,交岔路,小客車,A2,2
1466,1,交岔路,機車,A2,0
1467,2,交岔路,機車,A2,0
1468,2,交岔路,機車,A2,0
1469,1,單路部分,小客車,A2,3
1470,0,單路部分,機車,A2,1
1471,1,交岔路,機車,A2,0
1472,0,交岔路,機車,A2,0
1473,0,交岔路,機車,A2,0
1474,2,交岔路,機車,A2,0
1475,1,交岔路,機車,A2,0
1476,0,單路部分,機車,A2,1
1477,1,交岔路,慢車,A2,2
1478,1,交岔路,機車,A2,0
1479,2,單路部分,機車,A2,1
1480,1,單路部分,機車,A2,1
1481,1,交岔路,小客車,A2,2
1482,0,交岔路,機車,A2,0
1483,1,單路部分,機車,A2,1
1484,1,交岔路,機車,A2,0
1485,1,交岔路,小客車,A2,2
1486,2,單路部分,機車,A2,1
1487,1,交岔路,小客車,A2,2
1488,0,單路部分,機車,A2,1
1489,1,交岔路,機車,A2,0
1490,0,交岔路,機車,A2,0
1491,2,交岔路,機車,A2,0
1492,1,單路部分,機車,A2,1
1493,0,交岔路,機車,A2,0
1494,1,單路部分,機車,A2,1
1495,2,交岔路,小客車,A2,2
1496,0,交岔路,小客車,A2,2
1497,2,交岔路,機車,A2,0
1498,2,單路部分,機車,A2,1
1499,0,交岔路,機車,A2,0
1500,0,交岔路,機車,A2,0
1501,1,交岔路,機車,A2,0
1502,1,交岔路,機車,A2,0
1503,0,交岔路,機車,A2,0
1504,1,交岔路,機車,A2,0
1505,1,交岔路,機車,A2,0
1506,0,交岔路,機車,A2,0
1507,1,單路部分,小客車,A2,3
1508,1,交岔路,小客車,A2,2
1509,1,交岔路,機車,A2,0
1510,0,單路部分,小客車,A2,3
1511,2,單路部分,機車,A2,1
1512,2,交岔路,機車,A2,0
1513,2,交岔路,機車,A2,0
1514,0,交岔路,機車,A2,0
1515,1,交岔路,小客車,A2,2
1516,1,單路部分,小客車,A2,3
1517,0,單路部分,小貨車(含客、貨兩用),A2,3
1518,1,交岔路,機車,A2,0
1519,1,交岔路,小客車,A2,2
1520,2,交岔路,機車,A2,0
1521,1,交岔路,小客車,A2,2
1522,1,交岔路,小客車,A2,2
1523,1,單路部分,小客車,A2,3
1524,0,交岔路,小客車,A2,2
1525,1,交岔路,機車,A2,0
1526,1,交岔路,機車,A2,0
1527,1,交岔路,機車,A2,0
1528,1,交岔路,機車,A2,0
1529,1,交岔路,小客車,A2,2
1530,2,單路部分,,A2,1
1531,2,交岔路,機車,A2,0
1532,1,單路部分,機車,A2,1
1533,2,單路部分,機車,A2,1
1534,1,單路部分,機車,A2,1
1535,2,交岔路,機車,A2,0
1536,2,交岔路,小客車,A2,2
1537,1,交岔路,機車,A2,0
1538,1,交岔路,機車,A2,0
1539,1,交岔路,小客車,A2,2
1540,1,交岔路,小客車,A2,2
1541,1,交岔路,機車,A2,0
1542,0,單路部分,機車,A2,1
1543,1,交岔路,機車,A2,0
1544,2,單路部分,機車,A2,1
1545,0,交岔路,慢車,A2,2
1546,2,交岔路,機車,A2,0
1547,1,交岔路,機車,A2,0
1548,0,交岔路,小客車,A2,2
1549,1,單路部分,小客車,A2,3
1550,0,交岔路,機車,A2,0
1551,1,交岔路,小客車,A2,2
